trade_id,entry_date,entry_day,strategy,index,lots,entry_prem,exit_prem,actual_pnl,lot_size_used,recon_sign,expected_pnl,implied_multiplier,recon_error,pnl_reconciles,pnl_engine,pnl_engine_reason,structure_incomplete,canonical_won,followed_app
86,2026-04-13T04:06:17.609+00:00,2026-04-13,IRON_BUTTERFLY,BNF,1.0,848.85,599.85,7470.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
87,2026-04-13T04:06:24.954+00:00,2026-04-13,BEAR_CALL,BNF,1.0,445.5,546.05,-3016.0,30.0,1.0,-3016.4999999999986,29.995027349577338,0.49999999999863576,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,False,
88,2026-04-13T07:45:21.149+00:00,2026-04-13,IRON_CONDOR,BNF,1.0,576.9,351.55,6760.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
89,2026-04-13T07:45:29.666+00:00,2026-04-13,IRON_BUTTERFLY,BNF,1.0,853.85,513.4,10214.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
90,2026-04-13T07:45:36.054+00:00,2026-04-13,BEAR_CALL,BNF,1.0,433.9,481.3,-1422.0,30.0,1.0,-1422.000000000001,29.99999999999998,9.094947017729282e-13,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,False,
91,2026-04-15T03:49:30.56+00:00,2026-04-15,BULL_PUT,BNF,1.0,247.0,341.95,-2848.0,30.0,1.0,-2848.4999999999995,29.994734070563457,0.49999999999954525,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,False,
92,2026-04-15T07:06:31.534+00:00,2026-04-15,IRON_BUTTERFLY,NF,1.0,286.2,151.05,8785.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
93,2026-04-15T07:06:41.223+00:00,2026-04-15,IRON_CONDOR,NF,1.0,18.4,7.3,721.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
94,2026-04-15T07:06:47.213+00:00,2026-04-15,IRON_BUTTERFLY,BNF,1.0,818.2,473.45,10343.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
95,2026-04-15T07:06:54.005+00:00,2026-04-15,IRON_CONDOR,BNF,1.0,348.55,164.35,5526.0,30.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
96,2026-04-16T07:33:24.313+00:00,2026-04-16,IRON_BUTTERFLY,NF,1.0,272.5,132.1,9126.0,65.0,1.0,,,,,UNTRUSTED_INCOMPLETE_STRUCTURE,FOUR_LEG_STRUCTURE_MISSING_STRIKE2,True,True,
97,2026-04-16T07:53:40.732+00:00,2026-04-16,BULL_PUT,NF,1.0,84.7,60.1,1599.0,65.0,1.0,1599.0,65.0,0.0,True,RECONCILED,ACTUAL_PNL_RECONCILES_WITH_STORED_PREMIUMS,False,True,
