snapshot_id,day,menu_size_real,context_rows,context_win_rate_pnl_positive,model_pick_id,model_pick_role,model_pick_strategy,model_predicted_pnl,model_pick_pnl,brain_primary_id,brain_primary_strategy,brain_primary_pnl,menu_avg_pnl_including_no_trade,oracle_pick_id,oracle_pick_strategy,oracle_pnl_including_no_trade,latency_sec
1459,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,502.4373474121094,-1050.0,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,660.0,155.85,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,1317.0,16.78234650399827
1460,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_57000_56200_W800,secondary,BULL_PUT,488.111328125,-1630.5,BEAR_CALL_BNF_58000_58400_W400,BEAR_CALL,808.5,72.15,BEAR_CALL_BNF_58000_59000_W1000,BEAR_CALL,1497.0,16.78234650399827
1461,2026-06-23,14,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,513.43896484375,-1159.5,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,669.0,387.5,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,1323.0,16.78234650399827
1462,2026-06-23,14,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,518.353271484375,-1129.5,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,678.0,400.1,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,1338.0,16.78234650399827
1463,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_57000_56200_W800,secondary,BULL_PUT,508.15069580078125,-1345.5,BEAR_CALL_BNF_58000_58400_W400,BEAR_CALL,696.0,77.55,BEAR_CALL_BNF_58000_59000_W1000,BEAR_CALL,1287.0,16.78234650399827
1464,2026-06-23,14,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,528.4490966796875,-993.0,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,589.5,350.9,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,1182.0,16.78234650399827
1465,2026-06-23,14,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,520.7081909179688,-1119.0,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,640.5,370.1,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,1269.0,16.78234650399827
1466,2026-06-23,14,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,509.868896484375,-1116.0,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,628.5,345.8,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,1225.5,16.78234650399827
1467,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,506.7689208984375,-888.0,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,526.5,114.6,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,1078.5,16.78234650399827
1468,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56800_56000_W800,secondary,BULL_PUT,541.1644287109375,-240.0,BEAR_CALL_BNF_57800_58200_W400,BEAR_CALL,300.0,138.3,BEAR_CALL_BNF_57800_58800_W1000,BEAR_CALL,633.0,16.78234650399827
1469,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56800_56000_W800,secondary,BULL_PUT,541.1939697265625,-301.5,BEAR_CALL_BNF_57800_58200_W400,BEAR_CALL,318.0,139.35,BEAR_CALL_BNF_57800_58800_W1000,BEAR_CALL,687.0,16.78234650399827
1470,2026-06-23,10,256,0.69921875,BULL_PUT_BNF_56800_55800_W1000,secondary,BULL_PUT,603.9957885742188,-84.0,BEAR_CALL_BNF_57800_58200_W400,BEAR_CALL,162.0,70.63636363636364,BEAR_CALL_BNF_57800_58800_W1000,BEAR_CALL,339.0,16.78234650399827
1471,2026-06-23,10,256,0.69921875,BULL_PUT_BNF_56800_55800_W1000,secondary,BULL_PUT,599.4033203125,-133.5,BEAR_CALL_BNF_57800_58200_W400,BEAR_CALL,240.0,112.5,BEAR_CALL_BNF_57800_58800_W1000,BEAR_CALL,522.0,16.78234650399827
1472,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56800_56000_W800,secondary,BULL_PUT,546.0143432617188,-325.5,BEAR_CALL_BNF_57800_58200_W400,BEAR_CALL,310.5,119.1,BEAR_CALL_BNF_57800_58800_W1000,BEAR_CALL,657.0,16.78234650399827
1473,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56800_56000_W800,secondary,BULL_PUT,530.8949584960938,-496.5,BEAR_CALL_BNF_57800_58200_W400,BEAR_CALL,349.5,91.2,BEAR_CALL_BNF_57800_58800_W1000,BEAR_CALL,697.5,16.78234650399827
1474,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56800_56000_W800,secondary,BULL_PUT,531.625244140625,-139.5,BEAR_CALL_BNF_57800_58200_W400,BEAR_CALL,130.5,40.65,BEAR_CALL_BNF_57800_58800_W1000,BEAR_CALL,247.5,16.78234650399827
1475,2026-06-23,10,256,0.69921875,BULL_PUT_BNF_56800_55800_W1000,secondary,BULL_PUT,612.1505737304688,-52.5,BEAR_CALL_BNF_57800_58200_W400,BEAR_CALL,27.0,1.2272727272727273,BEAR_CALL_BNF_57800_58800_W1000,BEAR_CALL,85.5,16.78234650399827
1476,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56800_56000_W800,secondary,BULL_PUT,525.8491821289062,-517.5,BEAR_CALL_BNF_57800_58200_W400,BEAR_CALL,238.5,12.0,BEAR_CALL_BNF_57800_58800_W1000,BEAR_CALL,486.0,16.78234650399827
1477,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56800_56000_W800,secondary,BULL_PUT,527.4459228515625,-403.5,BEAR_CALL_BNF_57800_58200_W400,BEAR_CALL,210.0,28.35,BEAR_CALL_BNF_57800_58800_W1000,BEAR_CALL,451.5,16.78234650399827
1478,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,516.1429443359375,-757.5,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,288.0,-14.1,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,604.5,16.78234650399827
1479,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56800_56000_W800,secondary,BULL_PUT,530.54052734375,-499.5,BEAR_CALL_BNF_57800_58200_W400,BEAR_CALL,172.5,-34.2,BEAR_CALL_BNF_57800_58800_W1000,BEAR_CALL,352.5,16.78234650399827
1480,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,510.0472412109375,-804.0,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,280.5,-43.8,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,549.0,16.78234650399827
1482,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56800_56000_W800,secondary,BULL_PUT,526.8590087890625,-573.0,BEAR_CALL_BNF_57800_58200_W400,BEAR_CALL,228.0,-31.95,BEAR_CALL_BNF_57800_58800_W1000,BEAR_CALL,393.0,16.78234650399827
1483,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56800_56000_W800,secondary,BULL_PUT,532.516845703125,-463.5,BEAR_CALL_BNF_57800_58200_W400,BEAR_CALL,154.5,-44.25,BEAR_CALL_BNF_57800_58800_W1000,BEAR_CALL,286.5,16.78234650399827
1484,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,499.3988342285156,-1105.5,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,430.5,-40.35,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,792.0,16.78234650399827
1485,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,517.7352294921875,-819.0,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,292.5,-50.55,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,537.0,16.78234650399827
1486,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,520.55224609375,-810.0,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,288.0,-56.55,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,507.0,16.78234650399827
1487,2026-06-23,9,256,0.69921875,BULL_PUT_BNF_56900_56100_W800,secondary,BULL_PUT,517.0469970703125,-805.5,BEAR_CALL_BNF_57900_58300_W400,BEAR_CALL,247.5,-81.75,BEAR_CALL_BNF_57900_58900_W1000,BEAR_CALL,430.5,16.78234650399827
1488,2026-06-23,16,256,0.69921875,BEAR_CALL_BNF_57700_58700_W1000,secondary,BEAR_CALL,82.78411865234375,79.5,BEAR_PUT_NF_23650_23850_W200,BEAR_PUT,-130.0,2.161764705882353,BEAR_PUT_BNF_56800_57200_W400,BEAR_PUT,79.5,16.78234650399827
1489,2026-06-23,14,256,0.69921875,BEAR_CALL_BNF_57700_58700_W1000,secondary,BEAR_CALL,64.61125183105469,223.5,BEAR_PUT_NF_23650_23850_W200,BEAR_PUT,435.5,212.5,BEAR_PUT_NF_23750_23850_W100,BEAR_PUT,435.5,16.78234650399827
1490,2026-06-23,17,256,0.69921875,BEAR_CALL_BNF_57700_58700_W1000,secondary,BEAR_CALL,82.33738708496094,-1.5,BEAR_PUT_NF_23600_23850_W250,BEAR_PUT,-3.25,-3.6805555555555554,BEAR_PUT_BNF_57000_57200_W200,BEAR_PUT,7.5,16.78234650399827
1491,2026-06-23,14,256,0.69921875,BULL_PUT_BNF_56600_55800_W800,secondary,BULL_PUT,569.54833984375,591.0,BEAR_CALL_BNF_57500_57900_W400,BEAR_CALL,-540.0,-346.6,BULL_PUT_BNF_56600_55800_W800,BULL_PUT,591.0,16.78234650399827
1492,2026-06-23,14,256,0.69921875,BULL_PUT_BNF_56600_55800_W800,secondary,BULL_PUT,576.0570068359375,769.5,BEAR_CALL_BNF_57500_57900_W400,BEAR_CALL,-565.5,-351.9,BULL_PUT_BNF_56600_55800_W800,BULL_PUT,769.5,16.78234650399827
1496,2026-06-24,11,256,0.59765625,BEAR_PUT_NF_23700_23850_W150,primary,BEAR_PUT,294.283935546875,-1592.5,BEAR_PUT_NF_23700_23850_W150,BEAR_PUT,-1592.5,-2832.8333333333335,__NO_TRADE__,NO_TRADE,0.0,15.477670357999159
1497,2026-06-24,11,256,0.59765625,BEAR_CALL_BNF_58000_59000_W1000,secondary,BEAR_CALL,295.181640625,-5223.0,BEAR_PUT_NF_23700_23850_W150,BEAR_PUT,-1576.25,-2551.1875,__NO_TRADE__,NO_TRADE,0.0,15.477670357999159
1498,2026-06-24,11,256,0.59765625,BEAR_CALL_BNF_58000_59000_W1000,secondary,BEAR_CALL,388.8890380859375,-4900.5,BEAR_PUT_NF_23650_23900_W250,BEAR_PUT,-2440.75,-2452.1875,__NO_TRADE__,NO_TRADE,0.0,15.477670357999159
1499,2026-06-24,10,256,0.59765625,BEAR_PUT_NF_23700_23850_W150,primary,BEAR_PUT,301.7149353027344,-1647.75,BEAR_PUT_NF_23700_23850_W150,BEAR_PUT,-1647.75,-3070.840909090909,__NO_TRADE__,NO_TRADE,0.0,15.477670357999159
1500,2026-06-24,12,256,0.59765625,BEAR_CALL_BNF_58000_58800_W800,secondary,BEAR_CALL,354.02069091796875,-4639.5,BEAR_PUT_NF_23600_23900_W300,BEAR_PUT,-2905.5,-2719.269230769231,__NO_TRADE__,NO_TRADE,0.0,15.477670357999159
1501,2026-06-24,9,256,0.59765625,BEAR_CALL_BNF_58000_58800_W800,secondary,BEAR_CALL,277.02752685546875,-4918.5,BEAR_CALL_BNF_58000_58400_W400,BEAR_CALL,-2874.0,-1207.8,BULL_PUT_BNF_57000_56200_W800,BULL_PUT,2785.5,15.477670357999159
1502,2026-06-24,7,256,0.59765625,BEAR_CALL_BNF_57900_58500_W600,secondary,BEAR_CALL,147.42774963378906,-4942.5,BEAR_PUT_BNF_56800_57400_W600,BEAR_PUT,-4194.0,-4210.6875,__NO_TRADE__,NO_TRADE,0.0,15.477670357999159
1503,2026-06-24,13,256,0.59765625,BEAR_PUT_NF_23550_23850_W300,primary,BEAR_PUT,297.2007751464844,-3809.0,BEAR_PUT_NF_23550_23850_W300,BEAR_PUT,-3809.0,-3898.9821428571427,__NO_TRADE__,NO_TRADE,0.0,15.477670357999159
1504,2026-06-24,10,256,0.59765625,BEAR_PUT_NF_23600_23850_W250,primary,BEAR_PUT,277.70574951171875,-3038.75,BEAR_PUT_NF_23600_23850_W250,BEAR_PUT,-3038.75,-3633.8636363636365,__NO_TRADE__,NO_TRADE,0.0,15.477670357999159
1505,2026-06-24,10,256,0.59765625,BEAR_CALL_BNF_58100_58900_W800,secondary,BEAR_CALL,331.4310607910156,-4066.5,BEAR_PUT_NF_23650_23900_W250,BEAR_PUT,-2327.0,-2756.0227272727275,__NO_TRADE__,NO_TRADE,0.0,15.477670357999159
1506,2026-06-24,8,256,0.59765625,BEAR_CALL_BNF_58100_58900_W800,secondary,BEAR_CALL,390.2657165527344,-3873.0,BEAR_PUT_NF_23700_23900_W200,BEAR_PUT,-1781.0,-2593.5555555555557,__NO_TRADE__,NO_TRADE,0.0,15.477670357999159
1507,2026-06-24,12,256,0.59765625,BEAR_CALL_BNF_58200_59000_W800,secondary,BEAR_CALL,357.33575439453125,-3129.0,BEAR_PUT_NF_23700_23900_W200,BEAR_PUT,-1602.25,-2047.7307692307693,__NO_TRADE__,NO_TRADE,0.0,15.477670357999159
1508,2026-06-24,9,256,0.59765625,BEAR_CALL_BNF_58100_58900_W800,secondary,BEAR_CALL,485.6793212890625,-3601.5,BEAR_PUT_NF_23700_23900_W200,BEAR_PUT,-1621.75,-2196.55,__NO_TRADE__,NO_TRADE,0.0,15.477670357999159
